19 Points,18 Points,17 Points,16 Points,15 Points,14 Points,13 Points,12 Points,11 Points,10 Points,9 Points,8 Points,7 Points,6 Points,5 Points,4 Points,3 Points,2 Points,1 Point
Great Tusk,Deoxys-Speed,Darkrai,Galarian Slowking,Baxcalibur,Aegislash,Clefable,Archaludon,Azelf,Blastoise,Alolan Muk,Alakazam,Amoonguss,Abomasnow,Bisharp,Accelgor,Ambipom,Aggron,Abra
Iron Valiant,Garchomp,Gouging Fire,Gholdengo,Chi-Yu,Annihilape,Dracovish,Blacephalon,Azumarill,Cobalion,Barraskewda,Alolan Ninetales,Armarouge,Aerodactyl,Brambleghast,Alolan Marowak,Appletun,Alolan Exeggutor,Absol
Mega Gallade,Kyurem,Greninja,Iron Treads,Dragonite,Celesteela,Ferrothorn,Blaziken,Ceruledge,Corviknight,Basculegion,Alomomola,Breloom,Araquanid,Cetitan,Alolan Persian,Archeops,Alolan Raticate,Aipom
,Landorus-Therian,Iron Bundle,Kartana,Enamorus-Incarnate,Cinderace,Glimmora,Buzzwole,Gothitelle,Cresselia,Bronzong,Arcanine,Comfey,Arctozolt,Chandelure,Alolan Raichu,Arctovish,Alolan Sandslash,Alcremie
,Mega Diancie,Mega Latios,Landorus-Incarnate,Hisuian Samurott,Excadrill,Heatran,Galarian Darmanitan,Hatterene,Crobat,Diggersby,Clodsire,Diancie,Bellibolt,Chesnaught,Arboliva,Audino,Altaria,Alolan Diglett
,Mega Mawile,Mega Medicham,Mew,Latios,Gliscor,Jirachi,Hawlucha,Hisuian Arcanine,Deoxys-Defense,Dugtrio,Conkeldurr,Dondozo,Bewear,Cofagrigus,Aromatisse,Bouffalant,Armaldo,Alolan Dugtrio
,Mega Scizor,Palafin,Necrozma,Mega Aerodactyl,Hydreigon,Keldeo,Iron Boulder,Hisuian Lilligant,Donphan,Entei,Cyclizar,Dracozolt,Blissey,Decidueye,Brute Bonnet,Charizard,Articuno,Alolan Geodude
,Meowscarada,Tornadus-Therian,Roaring Moon,Mega Charizard X,Iron Hands,Kingambit,Krookodile,Iron Crown,Empoleon,Galarian Zapdos,Drapion,Dragalge,Braviary,Delphox,Chansey,Claydol,Avalugg,Alolan Golem
,Tapu Koko,Zeraora,Sneasler,Mega Garchomp,Iron Moth,Latias,Manaphy,Klefki,Galarian Moltres,Gardevoir,Garganacl,Dudunsparce,Celebi,Dhelmise,Cinccino,Copperajah,Barbaracle,Alolan Graveler
,,,Terapagos,Mega Lopunny,Mega Gardevoir,Mega Charizard Y,Mega Heracross,Mega Altaria,Galarian Weezing,Gengar,Haxorus,Enamorus-Therian,Cloyster,Eelektross,Crawdaunt,Crustle,Boltund,Alolan Grimer
